Date,ACWI,MEXICO,USA,BRAZIL,ALEMANIA,UK,FRANCIA,ESPANA,ITALIA,JAPON,CHINA,HONG KONG
31/01/2002,233.26,6927.87,1130.21,12721.5,5107.61,5164.8,4461.87,8050.4,32171,9997.8,1221.76,10725.3
28/02/2002,231.21,6734.44,1106.73,14033.3,5039.08,5101,4462.99,8135.5,31820,10587.83,1244.6,10482.55
29/03/2002,241.17,7361.86,1147.39,13254.5,5397.29,5271.8,4688.02,8249.7,33679,11024.94,1313.47,11032.92
30/04/2002,233.13,7480.74,1076.92,13085.1,5041.2,5165.6,4462.74,8154.4,32474,11492.54,1353.61,11497.58
31/05/2002,232.82,7031.64,1067.14,12861.4,4818.3,5085.1,4274.64,7949.9,30143,11763.7,1238.58,11301.94
28/06/2002,218.25,6460.95,989.81,11139.2,4382.56,4656.4,3897.99,6913,28091,10621.84,1431.18,10598.55
31/07/2002,199.73,6021.84,911.62,9762.6,3700.14,4246.2,3415.38,6249.3,25295,9877.94,1358.16,10267.36
30/08/2002,199.85,6216.43,916.07,10382.2,3712.94,4227.3,3366.21,6435.7,25553,9619.3,1361.3,10043.87
30/09/2002,177.63,5728.46,815.28,8622.5,2769.03,3721.8,2777.45,5431.7,21278,9383.29,1285.65,9072.21
31/10/2002,190.49,5967.73,885.76,10167.7,3152.85,4039.7,3150.04,6139.4,23557,8640.48,1225.34,9441.25
29/11/2002,200.6,6156.83,936.31,10508.8,3320.32,4169.4,3326.65,6685.6,25919,9215.56,1164.62,10069.87
31/12/2002,190.8,6127.09,879.82,11268.5,2892.63,3940.4,3063.91,6036.9,23508,8578.95,1103.64,9321.29
31/01/2003,185.03,5954.35,855.7,10941.1,2747.83,3567.4,2937.88,5947.7,22532,8339.94,1207.6,9258.95
28/02/2003,181.51,5927.06,841.15,10280.6,2547.05,3655.6,2754.07,5999.4,23279,8363.04,1213.86,9122.66
31/03/2003,180.2,5914.03,848.18,11273.6,2423.87,3613.3,2618.46,5870.5,21605,7972.71,1215.17,8634.45
30/04/2003,195.75,6509.88,916.92,12556.7,2942.04,3926,2953.67,6489.5,23887,7831.42,1239.95,8717.22
30/05/2003,206.54,6699.18,963.59,13421.6,2982.68,4048.1,2991.75,6508.5,24946,8424.51,1300.87,9487.38
30/06/2003,210.08,7054.99,974.5,12972.6,3220.58,4031.2,3084.1,6862,24676,9083.11,1214.55,9577.12
31/07/2003,214.46,7355.07,990.31,13571.7,3487.86,4157,3210.27,7061.7,25132,9563.21,1222.74,10134.83
29/08/2003,219.1,7591.42,1008.01,15174.5,3484.58,4161.1,3311.42,7111.3,25247,10343.55,1178.57,10908.99
30/09/2003,220.15,7822.48,995.97,16010.7,3256.78,4091.3,3134.99,6703.6,24615,10219.05,1127.14,11229.87
31/10/2003,233.24,8064.83,1050.71,17982.5,3655.99,4287.6,3373.2,7129.5,25973,10559.59,1111.62,12190.1
28/11/2003,236.42,8554.48,1058.2,20184,3745.95,4342.6,3424.79,7252.5,27156,10100.57,1142.97,12317.47
31/12/2003,251.13,8795.28,1111.92,22236.4,3965.16,4476.9,3557.9,7737.2,26887,10676.64,1194.74,12575.94
30/01/2004,255.2,9428.77,1131.13,21851.4,4058.6,4390.7,3638.44,7929.9,27774,10783.61,1281.33,13289.37
27/02/2004,259.51,9991.8,1144.94,21755,4018.16,4492.2,3725.44,8249.4,27957,11041.92,1351.61,13907.03
31/03/2004,257.43,10517.5,1126.21,22142.3,3856.7,4385.7,3625.23,8018.1,27148,11715.39,1384.95,12681.67
30/04/2004,250.93,9948.13,1107.31,19607.2,3985.21,4489.7,3674.28,8109.5,28020,11761.79,1239.72,11942.96
31/05/2004,252.28,10036.29,1120.68,19544.7,3921.41,4430.7,3669.63,7959.3,27355,11236.37,1206.84,12198.24
30/06/2004,256.89,10281.82,1140.84,21148.9,4052.73,4464.1,3732.99,8078.3,28092,11858.87,1078.48,12285.75
30/07/2004,248.45,10116.39,1101.72,22336.9,3895.61,4413.1,3647.1,7919.3,27538,11325.78,1088.68,12238.03
31/08/2004,249.51,10264.32,1104.24,22803.2,3785.21,4459.3,3594.28,7869.5,26913,11081.79,1055.97,12850.28
30/09/2004,254.37,10957.37,1114.58,23245.2,3892.9,4570.8,3640.61,8029.2,27794,10823.57,1109.32,13120.03
