Fecha,Mexico,US,Internacional
01/04/2008,31787.67969,1443.557881,542.7211306
02/04/2008,31467.86914,1444.508868,548.0046306
03/04/2008,31689.60938,1446.278974,552.169584
04/04/2008,31545.36914,1445.832169,553.9769106
07/04/2008,31715.43945,1444.791114,556.0377795
08/04/2008,31726.85938,1445.024504,554.0562794
09/04/2008,31417.83008,1435.451461,552.4950294
10/04/2008,31649.05078,1429.570242,546.3098
11/04/2008,31302.57031,1403.424413,541.67256
14/04/2008,31192.48047,1388.719637,534.2595696
15/04/2008,31375.94922,1393.463944,540.1712159
16/04/2008,31910.21094,1431.149993,555.4137685
17/04/2008,31785.99023,1434.776481,555.3804395
18/04/2008,31795.67969,1450.716438,560.570739
21/04/2008,32095.03906,1459.180922,568.1906205
22/04/2008,32039.7207,1446.314715,559.5897765
23/04/2008,31847.98047,1441.212266,561.541168
24/04/2008,31746.23047,1443.161793,559.9659241
25/04/2008,31009.01953,1460.914063,560.4007395
28/04/2008,30623.39063,1462.037856,571.2868585
29/04/2008,30270.64063,1465.625061,564.9421905
30/04/2008,30281.41016,1450.278218,571.0483695
01/05/2008,30281.41016,1480.278188,564.75468
02/05/2008,30551.4707,1479.203978,566.13448
05/05/2008,30958.89063,1475.152022,571.9185991
06/05/2008,31223.41992,1491.425596,577.671486
07/05/2008,30762.16016,1471.419818,571.0821661
08/05/2008,30751.9707,1471.547462,573.9838494
09/05/2008,30674.35938,1464.005937,571.6896211
12/05/2008,30637.35938,1471.318573,574.1347605
13/05/2008,30887.40039,1471.176758,572.8457605
14/05/2008,31336.57031,1475.649721,573.6133545
15/05/2008,31542.9707,1488.939635,579.3628796
16/05/2008,31486.94922,1478.670941,582.6166396
19/05/2008,31796.41016,1484.000731,585.0936207
20/05/2008,31526.16992,1473.485073,578.4278004
21/05/2008,31126.07031,1446.622944,571.327372
22/05/2008,31245.67969,1445.281695,575.170544
23/05/2008,31068.69922,1430.07959,571.0343896
27/05/2008,31414.21094,1439.762286,565.5838084
28/05/2008,31647.0293,1437.826771,562.1252177
29/05/2008,31837.26953,1445.486,565.3915034
30/05/2008,31975.4707,1445.605062,565.1609897
02/06/2008,31636.21094,1435.573108,565.3409203
03/06/2008,31492.64063,1423.83214,560.1912176
04/06/2008,31448.10938,1423.289885,555.8276006
05/06/2008,31726.00977,1448.217928,562.8072307
06/06/2008,31149.06055,1408.829658,553.6497303
09/06/2008,30933.43945,1413.361172,549.3300993
10/06/2008,30898.86914,1416.454039,546.4090576
