Date,MEXICO,CONSUMER STAPLES,COMMUNICATION,MATERIALS,FINANCIALS,INDUSTRIALS,UTILITIES,REAL SATATE
30/03/1990,355.64,,,,,,,
30/04/1990,375.71,,,,,,,
31/05/1990,475.49,,,,,,,
29/06/1990,447.91,,,,,,,
31/07/1990,503.63,,,,,,,
31/08/1990,449.41,,,,,,,
28/09/1990,405.95,,,,,,,
31/10/1990,475.72,,,,,,,
30/11/1990,491.56,,,,,,,
31/12/1990,490.12,,,,,,,
31/01/1991,478.84,,,,,,,
28/02/1991,504.91,,,,,,,
29/03/1991,639.81,,,,,,,
30/04/1991,719.26,,,,,,,
31/05/1991,835.68,,,,,,,
28/06/1991,788.69,,,,,,,
31/07/1991,895.56,,,,,,,
30/08/1991,944.36,,,,,,,
30/09/1991,924.83,,,,,,,
31/10/1991,1031.17,,,,,,,
29/11/1991,1051.77,,,,,,,
31/12/1991,1088.65,,,,,,,
31/01/1992,1210.33,,,,,,,
28/02/1992,1397.08,,,,,,,
31/03/1992,1406.24,,,,,,,
30/04/1992,1343.88,,,,,,,
29/05/1992,1360.1,,,,,,,
30/06/1992,1132.47,,,,,,,
31/07/1992,1145.47,,,,,,,
31/08/1992,1069.91,,,,,,,
30/09/1992,1019.97,,,,,,,
30/10/1992,1208.54,,,,,,,
30/11/1992,1305.61,,,,,,,
31/12/1992,1343.67,,,,,,,
29/01/1993,1268.25,,,,,,,
26/02/1993,1193.57,,,,,,,
31/03/1993,1354.98,,,,,,,
30/04/1993,1254.52,,,,,,,
31/05/1993,1234.61,,,,,,,
30/06/1993,1241.09,,,,,,,
30/07/1993,1308.64,,,,,,,
31/08/1993,1433.73,,,,,,,
30/09/1993,1383.33,,,,,,,
29/10/1993,1525.44,,,,,,,
30/11/1993,1684.2,,,,,,,
31/12/1993,1965.57,,,,,,,
31/01/1994,2121.09,,,,,,,
28/02/1994,1930.1,,,,,,,
31/03/1994,1709.67,,,,,,,
29/04/1994,1660.9,,,,,,,
31/05/1994,1783.25,,,,,,,
30/06/1994,1587.49,,,,,,,
29/07/1994,1723.5,,,,,,,
31/08/1994,1849.62,,,,,,,
30/09/1994,1880.07,,,,,,,
31/10/1994,1726.22,,,,,,,
30/11/1994,1736.39,,,,,,,
30/12/1994,1149.74,,,,,,,
31/01/1995,898.37,46.87,70.66,109.07,141.9,112.5,,
28/02/1995,683.99,37.6,56.46,82.83,63.4,81.3,,
31/03/1995,696.38,36.53,57.43,81.58,78.38,80.85,,
28/04/1995,828.19,44.21,61.67,106.36,115.77,110.14,,
31/05/1995,802.84,43.19,56.98,115.43,103.85,116.04,,
30/06/1995,878.59,49.19,59.72,127.03,118.22,125.68,,
31/07/1995,958.9,52.43,67.12,137.61,153.95,137.71,,
31/08/1995,991.59,53.28,66.16,147.85,154.08,146.52,,
29/09/1995,931.76,52.48,64.77,135.92,135.82,138.22,,
31/10/1995,808.73,46.27,56.03,119.24,114,122.02,,
30/11/1995,878.68,47.22,66.99,124.46,106.58,125.68,,
29/12/1995,901.88,53.1,65.08,127.44,110.5,132.65,,
31/01/1996,1006.9,56.35,68.8,140.42,142.59,150.29,,
29/02/1996,914.76,52.81,61.87,128.84,132.19,133.86,,
29/03/1996,988.12,58.06,67.18,137.04,141.88,148.62,,
30/04/1996,1042.26,60.36,68.57,142.83,156.23,160.57,,
31/05/1996,1047.82,61.81,66.73,141.17,158.06,173.38,,
28/06/1996,1031.98,60.25,68.46,135.26,156.28,168.66,,
31/07/1996,964.53,59.3,62.17,128.03,151.81,154.77,,
30/08/1996,1053.54,62.88,66.25,139.28,166.04,172.19,,
30/09/1996,1051.82,67.82,64.88,141.03,166.19,174.59,,
31/10/1996,988.47,66.28,61.56,132.06,160.36,160.33,,
29/11/1996,1026.73,71.98,61.96,134.59,162.92,175.36,,
31/12/1996,1052.64,74.61,66.69,137.24,167.48,179.17,,
31/01/1997,1143.24,77.08,76.38,147.9,180.83,196.84,,
28/02/1997,1184.03,82.03,78.64,155.35,179.54,209.33,,
31/03/1997,1157.94,79.62,78.21,147.62,176.99,208.76,,
30/04/1997,1162.17,80.87,83.85,138.71,174.2,201.9,,
30/05/1997,1229.07,85.81,89.73,143.32,173.32,210.82,,
30/06/1997,1367.05,95.28,97.03,162.98,208.98,234.91,,
31/07/1997,1571.13,119.66,111.81,183.33,249.86,279.56,,
29/08/1997,1444.53,109.75,93.22,175.77,220.86,256.82,,
30/09/1997,1655.98,126.7,105.26,194.42,251,313.15,,
31/10/1997,1348.38,101.96,87.81,158.44,187.73,252.01,,
28/11/1997,1479.26,115.67,101.01,165.11,200.5,271.43,,
31/12/1997,1596.3,119.75,114.03,176.22,219.43,261.59,,
30/01/1998,1372.2,109.61,99.75,151.39,188.97,206.15,,
27/02/1998,1420.13,112.94,101.87,158.74,192.34,209.46,,
31/03/1998,1492,117.65,114.83,170.68,195.22,210.61,,
30/04/1998,1522.31,122.53,114.42,174.11,211.5,207.14,,
29/05/1998,1313.66,114.55,97.23,148.89,168.5,171.68,,
30/06/1998,1232.04,108.99,97.33,129.94,136.69,153.43,,
31/07/1998,1216.04,109.23,100.82,119.72,135.7,149.44,,
31/08/1998,799.39,76.64,71.9,77.39,68.87,84.01,,
30/09/1998,951.5,96.02,90.23,89.61,78.39,95.5,,
30/10/1998,1065.63,96.58,106.05,99.73,92.5,105.57,,
30/11/1998,999.98,90.95,94.85,97.49,90.4,100.26,,
31/12/1998,1045.59,100,100,100,100,100,,
29/01/1999,1032.24,100.15,103.48,99.8,85.67,97.5,,
26/02/1999,1133.57,103.49,115.82,109.07,104.47,98.93,,
31/03/1999,1341.34,116.95,132.88,138.3,134.73,121.95,,
30/04/1999,1498.29,121.78,153.11,148.36,152.4,145.14,,
31/05/1999,1455.91,117.73,161.92,136.16,135.53,127.29,,
30/06/1999,1580.7,130.75,163.52,156.96,154.38,143.06,,
30/07/1999,1428.2,123.71,153.9,137.62,126.34,121.33,,
31/08/1999,1381.41,118.77,149.89,137.02,118.85,123.85,,
30/09/1999,1363.13,112.72,143.95,144.32,115.06,125.96,,
29/10/1999,1435.1,108.2,172.33,134.04,135.42,114.62,,
30/11/1999,1636.54,126.07,188.68,149.74,169.57,131.64,,
31/12/1999,1866.39,129.84,226.8,162.73,192.49,134.26,,
31/01/2000,1676.75,110.2,218.46,140.2,176.08,118.82,,
29/02/2000,1906.06,111.33,264.49,136.72,186.1,109.27,,
31/03/2000,1950.63,110.57,273.7,142.2,207.44,113.01,,
28/04/2000,1735.47,101.39,238.31,131.79,165.73,101.08,,
31/05/2000,1553.51,101.77,196.96,124.82,160.56,89.13,,
30/06/2000,1742.7,110.49,231.25,123.3,187.1,93.32,,
31/07/2000,1701.24,110.21,210.04,129.93,204.47,92.96,,
31/08/2000,1768.99,116.27,218.57,134.74,210.83,97.54,,
29/09/2000,1639.93,108.06,213.48,114.68,207.87,80.58,,
31/10/2000,1674.59,111.34,216.1,116,215.32,78.6,,
30/11/2000,1503.75,102.76,191.66,105.12,196.88,67.57,,
29/12/2000,1464.86,104.75,180.21,103.72,212.76,61.2,,
